name,rating,position,nation,team,pac,sho,pas,dri,def,phy
S. Conteh,65,RM,Germany,SC Paderborn 07,95,58,52,66,37,62
V. Ozornwafor,65,CB,Nigeria,FC Sochaux-Montbéliard,60,36,43,44,64,74
G. Cîmpanu,65,LM,Romania,Universitatea Craiova,82,59,59,67,35,63
Vinícius Tobías,65,RB,Brazil,Real Madrid CF,74,44,51,68,61,61
J. Iritier,65,LW,Argentina,Club Atlético Aldosivi,69,57,60,69,30,51
R. Cooney,65,RWB,England,Morecambe,72,49,55,61,61,66
L. Ovalle,65,LB,Panama,Deportivo La Guaira FC,73,41,53,63,60,60
J. Bigo,65,GK,Argentina,Arsenal de Sarandí,63,61,63,68,24,68
A. Di Pardo,65,RM,Italy,Cagliari,68,48,66,66,49,60
S. Nkansah,65,CB,Germany,FC Erzgebirge Aue,66,30,45,48,66,69
M. Lieder,65,ST,Netherlands,FC Emmen,58,64,50,64,23,74
S. O'Neill,65,CB,United States,Toronto FC,55,47,55,56,63,76
K. Krygård,65,CB,Norway,FK Haugesund,62,54,60,63,63,76
M. Finotto,65,ST,Italy,SPAL,80,62,54,65,35,67
C. Lannert,65,RWB,Germany,TSV 1860 München,79,42,53,59,58,63
E. Almog,65,CAM,Israel,TSV Egger Glas Hartberg,71,65,62,66,26,61
A. Álvarez Wallace,65,CDM,Uruguay,Club Atlético Peñarol,62,52,58,59,61,63
B. Makouana,65,RM,Congo,Montpellier Hérault SC,82,61,54,68,30,56
K. Velde,65,RM,Norway,Lech Poznań,80,63,57,68,43,61
C. Lattanzio,65,LM,Argentina,Platense,73,65,63,64,41,55
I. Conté,65,CB,Guinea,Chamois Niortais Football Club,49,43,49,53,63,80
M. Djetei,65,CB,Cameroon,Albacete BP,68,35,48,52,65,75
S. Hagen,65,CB,Norway,Odds BK,33,35,51,44,67,65
G. Nardelli,65,CB,Argentina,Club Atlético Colón,64,41,47,50,65,72
L. Damer,65,RM,Germany,Hallescher FC,80,57,63,65,40,57
J. Heuer,65,CB,Germany,SC Paderborn 07,63,38,54,55,66,66
P. Vivanco,65,CAM,Peru,Sport Boys,58,64,63,66,61,61
F. Carstens,65,CB,Germany,SV Wehen Wiesbaden,53,27,43,43,63,76
K. Kamiński,65,GK,Poland,Wisła Płock,65,63,65,66,36,67
J. Ortmark,65,CAM,Sweden,IFK Norrköping,67,58,64,68,59,65
J. Skjelvik,65,LB,Norway,Odense Boldklub,79,50,59,62,58,73
S. Delos,65,RB,France,Estoril Praia,83,52,51,69,59,63
A. Pears,65,GK,England,Blackburn Rovers,64,62,62,69,15,63
L. Stevenson,65,LB,Scotland,Hibernian,73,42,58,63,62,72
Álvaro García,65,CDM,Spain,UD Ibiza,62,50,58,61,65,66
R. Balker,65,CB,Netherlands,FC Groningen,67,30,48,40,64,75
J. Ekomié,65,LB,Gabon,FC Girondins de Bordeaux,71,31,53,58,63,61
E. Bush,65,GK,United States,Columbus Crew,68,63,63,61,32,64
L. Wing,65,CM,England,Wycombe Wanderers,68,58,65,66,55,67
Tiri,65,CB,Spain,ATK Mohun Bagan FC,65,38,53,51,63,77
M. Briceag,65,LB,Romania,Universitatea Cluj,77,51,54,54,62,69
P. Makuch,65,ST,Poland,Cracovia,76,65,46,60,26,75
Fábio Nunes,65,LWB,Portugal,Widzew Łódź,74,51,61,66,56,66
Rafael Brito,65,CM,Portugal,Clube Sport Marítimo,67,58,69,65,55,61
I. Cortez,65,RB,Argentina,Rosario Central,70,32,46,58,63,64
F. Boyomo,65,CB,France,Albacete BP,71,30,40,41,66,68
H. Friðjónsson,65,ST,Iceland,Lillestrøm SK,61,67,48,59,33,74
V. Agardius,65,CB,Sweden,IFK Norrköping,67,36,56,63,64,70
R. Meara,65,GK,United States,New York Red Bulls,64,64,61,68,46,65
A. Livieri,65,GK,Italy,Pisa,64,61,70,68,45,67
P. Parzyszek,65,ST,Poland,CD Leganés,55,62,53,60,38,68
Luiz Henrique,65,ST,Brazil,Real Betis Balompié,78,67,58,66,40,56
M. Tilio,65,CAM,Australia,Melbourne City FC,83,59,60,68,39,54
L. Pizarro,65,RM,Argentina,Godoy Cruz,73,57,60,66,52,69
L. Geminiani,65,RB,Argentina,Patronato,74,31,51,63,58,64
R. Revoredo,65,CB,Peru,Sport Boys,63,41,48,57,65,72
M. Amoura,65,RM,Algeria,FC Lugano,88,64,59,70,45,62
H. Abaida El Achhab,65,LM,Morocco,Málaga CF,79,56,58,69,25,53
M. Popa,65,GK,Romania,FC Voluntari,68,63,58,64,41,62
A. Bakayoko,65,ST,Sierra Leone,Bolton Wanderers,76,63,51,60,44,78
Z. Hemming,65,GK,England,Kilmarnock,64,63,62,65,28,66
J. Campusano,65,LB,Chile,Deportivo Ñublense,81,27,57,60,58,68
M. Wieffer,65,CAM,Netherlands,Feyenoord,69,53,62,67,49,68
H. Saivet,65,CAM,Senegal,Pau FC,65,64,69,67,61,54
D. Celea,65,CB,Romania,AFC Chindia Târgoviște,53,38,41,45,66,71
E. Adu,65,CDM,Ghana,Mjällby AIF,43,43,65,66,62,57
K. Opoku,65,ST,Ghana,Los Angeles FC,82,65,49,69,36,61
Vitinho,65,CAM,Brazil,FC Arouca,65,66,64,68,54,56
I. Sulemana Kakari,65,CB,Ghana,Hellas Verona,79,60,63,62,64,67
C. Olascuaga,65,LM,Peru,Ayacucho,79,61,60,68,37,68
M. Corboz,65,CM,United States,Sportclub Verl,77,55,61,65,59,71
A. Demirbağ,65,CB,Turkey,İttifak Holding Konyaspor,51,31,39,44,67,64
M. Boudjemaa,65,CDM,Algeria,Atakaş Hatayspor,71,46,59,67,61,67
U. Meleke,65,CB,Côte d'Ivoire,FC Voluntari,73,26,49,62,65,79
B. Sweat,65,CB,United States,Sporting Kansas City,66,43,63,62,64,70
V. Jaroš,65,GK,Czech Republic,Stockport County,66,65,65,66,39,64
K. Butić,65,ST,Croatia,Cosenza,72,66,53,61,37,64
K. Gkezos,65,CB,Greece,SK Austria Klagenfurt,50,46,53,52,63,75
J. King,65,LB,Australia,Odense Boldklub,71,30,54,60,62,71
F. Kaya,65,ST,Germany,Sint-Truidense VV,77,63,46,67,24,59
G. Nurse,65,LWB,England,Shrewsbury Town,78,53,58,61,63,69
B. Bayazit,65,GK,Netherlands,Yukatel Kayserispor,66,64,56,69,24,64
E. Miller,65,RB,United States,Nashville SC,73,37,52,59,63,70
D. Gape,65,CDM,England,Wycombe Wanderers,65,56,62,65,62,69
T. Adamsen,65,ST,Denmark,Silkeborg IF,79,62,53,65,29,62
E. Cerrillo,65,CDM,United States,FC Dallas,64,42,58,58,61,70
R. Figueroa,65,LM,Venezuela,Deportivo Táchira FC,74,64,59,66,25,52
F. Jungwirth,65,CB,Germany,Vancouver Whitecaps FC,32,42,61,56,64,72
M. Al Fatil,65,CB,Saudi Arabia,Al Nassr,50,25,49,48,65,68
T. Deng,65,CB,Australia,Free agent,77,42,49,55,65,69
S. Horemans,65,RB,Belgium,Excelsior,67,26,54,59,64,67
M. Phaëton,65,ST,France,Grenoble Foot 38,83,62,57,66,29,74
G. Paiva,65,ST,Paraguay,Club Olimpia,55,68,49,64,25,58
J. Grimmer,65,CB,Scotland,Wycombe Wanderers,73,53,56,62,64,75
M. Sonnleitner,65,CB,Austria,TSV Egger Glas Hartberg,62,36,50,51,64,71
J. Vidales,65,RW,Peru,FBC Melgar,80,58,61,65,33,42
J. Lindsay,65,CM,Scotland,Rotherham United,57,60,63,66,63,67
N. McGinn,65,RW,Northern Ireland,Free agent,70,65,64,68,36,59
S. Eriksson,65,CDM,Sweden,IFK Göteborg,55,50,64,61,62,67
L. Le Roux,65,CM,South Africa,Varbergs BoIS FC,75,50,61,66,59,70
O. Sæter,65,ST,Norway,Rosenborg BK,67,65,50,61,29,76
K. Kesler Hayden,65,RWB,England,Huddersfield Town,82,48,58,64,59,60
M. Zemzemi,65,CAM,Tunisia,Chamois Niortais Football Club,69,65,64,69,50,64
K. Magennis,65,RM,Scotland,Hibernian,72,65,65,65,58,74
Z. Naidji,65,ST,Algeria,Stade Lavallois Mayenne FC,72,67,51,67,27,57
E. Pérez,65,RM,Bolivia,Club Deportivo Jorge Wilstermann,75,53,60,66,46,65
W. Norris,65,GK,England,Burnley,67,62,60,67,44,63
C. Villanueva,65,CAM,Chile,Colo-Colo,68,65,58,67,39,63
S. Hausner,65,CB,Denmark,Aarhus GF,65,35,50,58,64,74
F. Eboa Eboa,65,CB,Cameroon,En Avant de Guingamp,44,44,52,54,64,77
A. De Vitis,65,CM,Italy,Pisa,64,61,63,66,62,73
V. Kochergin,65,RM,Ukraine,Raków Częstochowa,66,65,63,64,34,54
A. Rambal,65,CB,Colombia,Club Always Ready,55,38,49,57,66,66
B. Van Durmen,65,CDM,Belgium,FC U Craiova 1948,62,59,63,62,61,72
Ander Martín,65,CAM,Spain,Real Sociedad,71,62,61,68,50,52
André Paulo,65,GK,Portugal,Sporting CP,65,63,64,67,30,65
N. Rommens,65,CM,Belgium,SV Zulte Waregem,54,60,65,63,60,66
S. Carson,65,GK,England,Manchester City,63,65,62,63,35,69
T. Carson,65,GK,Northern Ireland,St. Mirren,65,63,64,64,49,65
Iván González,65,CB,Spain,SC East Bengal FC,67,46,52,53,63,79
L. McCormick,65,RM,England,Bristol Rovers,75,58,64,67,55,67
S. Puttkammer,65,CB,Germany,SV Meppen,38,26,45,45,65,74
M. Awoudja,65,CB,Germany,Excelsior,62,41,50,47,62,75
J. Schmied,65,CB,Switzerland,FC Sion,60,33,40,40,66,72
W. Fernández,65,CDM,Uruguay,Delfín Sporting Club,60,61,63,60,64,69
N. Lonwijk,65,CB,Netherlands,Plymouth Argyle,64,35,41,49,66,64
S. Musiolik,65,ST,Poland,Raków Częstochowa,84,61,48,63,25,74
A. Cannon,65,RM,England,Hull City,70,53,63,69,60,64
L. Cvek,65,CB,Croatia,CFR Cluj,61,48,54,52,64,76
Pol Valentín,65,RWB,Spain,Real Sporting de Gijón,91,39,56,65,57,66
F. Suárez,65,ST,Argentina,Club Deportivo Oriente Petrolero,61,67,51,61,28,64
C. Raglan,65,CB,England,Cheltenham Town,59,32,44,48,63,78
I. Lores,65,LW,Uruguay,Cittadella,80,63,57,70,43,48
B. Jones,65,GK,Australia,Perth Glory,64,64,60,64,34,68
F. Bejan,65,CB,Romania,AFC Hermannstadt,42,32,41,45,62,75
M. Knaller,65,GK,Austria,SK Austria Klagenfurt,65,65,45,67,42,63
P. Šafranko,65,ST,Slovakia,Sepsi OSK Sf. Gheorghe,68,63,56,62,41,74
Oriol Rey,65,CM,Spain,CD Mirandés,57,53,63,65,59,62
J. Blasco,65,CB,France,SD Huesca,66,41,58,54,65,71
J. Caldera,65,CB,Colombia,Deportivo Cali,66,26,40,41,68,62
S. Cisse,65,CM,Guinea,CD Leganés,60,60,63,59,59,56
B. Utvik,65,CB,Norway,Sarpsborg 08 FF,46,37,48,52,66,70
F. Matei,65,LM,Romania,AFC UTA Arad,73,62,65,66,42,54
H. Magallanes,65,CB,Uruguay,Ayacucho,58,37,42,44,64,76
I. Regalado,65,RW,Peru,Ayacucho,76,61,63,66,48,55
F. Lasso,65,CB,United States,GIF Sundsvall,49,34,39,45,64,75
C. Golofca,65,RW,Romania,Sepsi OSK Sf. Gheorghe,90,60,62,65,48,60
M. Domański,65,RM,Poland,PGE FKS Stal Mielec,75,66,64,66,56,68
A. Tudorie,65,ST,Romania,Sepsi OSK Sf. Gheorghe,62,64,45,57,32,71
E. Valencia,65,CAM,Chile,Unión La Calera,70,59,63,67,59,69
M. Horvat,65,CDM,Croatia,TSV Egger Glas Hartberg,65,42,53,58,63,71
O. Stanisic,65,CB,Sweden,Varbergs BoIS FC,61,38,46,49,64,74
F. Ángel,65,CAM,Colombia,Newell's Old Boys,67,58,59,66,69,48
J. Papeau,65,RM,France,Rapid București,81,58,62,72,37,65
Itaitinga,65,ST,Brazil,FC Sion,74,65,57,69,20,62
M. Breij,65,RW,Netherlands,SC Cambuur,67,65,63,65,42,58
D. Mitchell,65,LM,England,Hibernian,85,60,61,64,57,63
K. Kairinen,65,CM,Finland,Lillestrøm SK,64,57,62,65,61,65
J. Correa,65,RW,France,Grenoble Foot 38,84,64,56,68,29,55
O. Ayık,65,RM,Turkey,Ümraniyespor,71,57,61,66,33,61
P. Camacho,65,RB,Venezuela,Deportivo Táchira FC,66,43,56,54,64,62
J. Wollacott,65,GK,Ghana,Charlton Athletic,66,63,63,65,41,64
M. Ortiz,65,CB,Bolivia,Club Deportivo Jorge Wilstermann,59,25,47,52,68,65
Javi Díaz,65,GK,Spain,CD Tenerife,67,61,65,68,58,63
R. Vargas,65,CAM,Bolivia,Club Deportivo Jorge Wilstermann,72,66,54,74,24,46
A. Deja,65,CDM,Poland,Korona Kielce,65,49,59,59,62,79
Guarrotxena,65,CF,Spain,FC Goa,71,64,62,66,49,73
A. Landgren,65,CDM,Sweden,Helsingborgs IF,60,53,61,60,62,72
L. Esquivel,65,LB,Argentina,Unión de Santa Fe,79,42,52,59,58,64
D. Dussaut,65,RB,France,Rapid București,67,49,62,62,62,68
D. Theodorou,65,CAM,Cyprus,APOEL Nicosia FC,72,62,59,66,21,48
Gui Guedes,65,CAM,Portugal,Unión Deportiva Almería,66,54,64,66,57,58
R. Al Mousa,65,CDM,Saudi Arabia,Damac FC,62,43,57,60,63,71
D. Harvie,65,LWB,Scotland,Milton Keynes Dons,74,44,57,61,61,68
D. Kasumu,65,CDM,Nigeria,Huddersfield Town,70,52,62,68,63,66
S. Krpić,65,ST,Bosnia and Herzegovina,Western Sydney Wanderers,67,63,54,60,44,69
A. Benedyczak,65,ST,Poland,Parma,82,60,49,61,32,73
C. McCowatt,65,CAM,New Zealand,Free agent,72,64,63,62,53,70
T. Matthews,65,RM,South Africa,IK Sirius,81,58,58,71,30,59
M. Freese,65,GK,United States,Philadelphia Union,67,64,69,68,29,65
J. Martin,65,RM,England,Barnsley,84,57,60,67,38,48
I. Maestro Puch,65,ST,Argentina,Atlético Tucumán,66,66,47,63,22,63
S. Engelmann,65,ST,Germany,Rot-Weiß Essen,59,66,60,60,30,70
R. Inniss,65,CB,England,Charlton Athletic,37,33,42,40,64,75
T. Baumgart,65,RM,Germany,FC Erzgebirge Aue,71,57,58,66,33,65
S. Meza,65,GK,Argentina,Club Atlético Sarmiento,67,61,57,67,30,64
L. Ojeda,65,LB,Argentina,Club Atlético Colón,62,31,53,60,63,65
J. Montenegro,65,ST,Bolivia,Club Deportivo Guabirá,78,61,61,61,24,60
D. Maldini,65,CAM,Italy,Spezia,67,57,64,67,39,48
Y. Merdji,65,LM,France,Chamois Niortais Football Club,80,64,56,67,18,75
F. Martínez,65,CDM,Paraguay,Club Atlético Sarmiento,55,53,54,61,65,67
C. Gomes,65,CDM,France,Palermo,64,55,61,64,64,62
R. Preißinger,65,CDM,Germany,FC Ingolstadt 04,67,56,59,62,61,78
O. Fernandez,65,RM,United States,New York Red Bulls,80,53,58,70,44,55
E. Domaschke,65,GK,Germany,SV Meppen,65,64,64,66,38,63
T. Burey,65,ST,England,Millwall,80,64,55,66,38,65
I. Nuhu,65,RW,Ghana,KAS Eupen,80,63,57,73,32,44
Yu Yang,65,CB,China PR,Beijing Guoan FC,60,25,45,49,64,72
M. Kaba,65,CDM,France,Valenciennes FC,61,42,56,62,60,68
T. Cele,65,CM,South Africa,Radomiak Radom,68,51,61,64,58,64
N. Dams,65,CB,Germany,Borussia Dortmund II,55,30,51,53,64,72
B. Norton-Cuffy,65,RB,England,Rotherham United,76,39,55,65,58,69
L. Correa,65,CB,Uruguay,Cerro Largo Fútbol Club,67,43,57,58,64,71
G. Álvarez,65,ST,Bolivia,Royal Pari,63,69,43,56,25,73
K. Barmen,65,CDM,Norway,Aalesunds FK,57,60,63,62,63,72
A. Hosseinzadeh,65,ST,Iran,Royal Charleroi S.C.,69,65,61,70,40,65
C. Kirk,65,RM,England,Charlton Athletic,78,61,62,66,29,60
D. Jakubik,65,RB,Poland,Radomiak Radom,79,32,53,50,61,72
M. Stevens,65,ST,England,Forest Green Rovers,74,64,49,64,22,69
J. Rzeźniczak,65,CB,Poland,Wisła Płock,64,46,54,55,62,78
C. Matei,65,CAM,Romania,Sepsi OSK Sf. Gheorghe,58,62,66,67,54,61
M. Lahtimi,65,LM,Morocco,Trabzonspor,75,62,62,69,29,52
A. Bondarenko,65,CAM,Ukraine,Shakhtar Donetsk,65,65,61,64,61,59
C. Slattery,65,CDM,England,Motherwell,68,58,59,64,60,72
J. Rudoni,65,CAM,England,Huddersfield Town,72,62,62,66,60,66
J. Izquierdo,65,CB,Uruguay,Club Nacional de Football,68,26,49,48,65,71
M. Pedersen,65,ST,Norway,Hamarkameratene,64,66,53,62,37,76
M. Akoto,65,CB,Ghana,SG Dynamo Dresden,69,32,52,55,66,73
Miguel Luís,65,CAM,Portugal,Warta Poznań,64,63,66,66,58,57
K. Vallo,65,RM,Slovakia,Wisła Płock,78,48,61,62,57,68
F. Paradela,65,CAM,Argentina,Club Atlético Sarmiento,68,56,63,69,52,58
V. Ethemi,65,RM,North Macedonia,İstanbulspor,67,64,63,67,31,60
C. Cappis,65,CM,United States,Brøndby IF,68,49,63,65,59,65
D. Fernández,65,CB,Argentina,Vélez Sarsfield,72,33,44,56,64,72
J. Reinoso,65,ST,Colombia,Club The Strongest,64,69,49,64,29,57
H. Quintana,65,CAM,Paraguay,Club Olimpia,64,58,64,66,54,52
L. Rose,65,CB,Mauritius,Legia Warszawa,65,41,53,56,64,76
J. Vargas,65,ST,Venezuela,Estudiantes de Mérida,80,61,53,68,20,54
Pedro Álvaro,65,CB,Portugal,Estoril Praia,64,30,41,52,66,70
T. Klysner,65,RM,Denmark,Randers FC,80,56,57,67,49,70
P. Helland,65,RM,Norway,Lillestrøm SK,65,63,63,66,44,62
C. Klaus,65,GK,Germany,1. FC Nürnberg,64,68,68,66,29,65
João Marcelo,65,CB,Brazil,FC Porto,63,42,49,55,65,70
I. Escobar,65,LB,Argentina,Club Atlético Aldosivi,83,40,54,63,60,63
N. Romero,65,LB,Argentina,Rosario Central,82,33,51,62,59,63
K. Kahlina,65,GK,Croatia,Charlotte FC,63,69,66,67,21,67
M. Gianoli,65,CB,Uruguay,Cerro Largo Fútbol Club,60,33,50,56,64,65
F. David,65,CAM,France,Rodez Aveyron Football,77,65,62,67,42,68
J. Abu Hanna,65,CB,Israel,Lechia Gdańsk,69,33,56,54,64,70
L. Demiquel,65,RWB,Bolivia,Club The Strongest,76,38,57,64,62,70
Alan Costa,65,CB,Brazil,Bengaluru FC,49,32,46,39,63,78
L. Putaro,65,ST,Germany,VfL Osnabrück,76,63,56,68,39,65
A. Hamdi,65,CAM,Egypt,Club de Foot Montréal,65,60,65,72,53,60
J. Lorch,65,CDM,Germany,Viktoria Köln,65,46,58,59,64,76
E. Chávez,65,RB,Peru,Ayacucho,77,45,53,63,61,61
M. Brunori,65,ST,Italy,Palermo,68,67,53,67,23,55
M. Ebiowei,65,LM,England,Crystal Palace,77,60,60,68,37,49
Gaztañaga,65,CDM,Spain,NorthEast United FC,49,45,59,58,63,71
J. Portales,65,CB,Peru,Club Alianza Lima,59,29,54,49,64,73
Alfon,65,RW,Spain,Racing Santander,76,65,56,71,32,54
D. Erdoğan,65,CM,Turkey,Fortuna Sittard,62,54,64,65,59,69
R. Gojani,65,CM,Sweden,Silkeborg IF,69,46,65,69,50,65
J. Fernández,65,LW,Argentina,Vélez Sarsfield,66,64,61,65,33,48
T. Jänicke,65,RM,Germany,1. FC Saarbrücken,73,56,65,68,54,66
R. Strain,65,RWB,Australia,St. Mirren,78,45,59,63,59,72
D. Hylton,65,ST,England,Northampton Town,51,65,55,62,41,75
R. Blanco,65,ST,Colombia,Atlético Nacional,69,65,46,65,50,63
L. Kitching,65,CB,England,Barnsley,65,29,45,47,64,71
L. Rajot,65,CM,France,Rodez Aveyron Football,73,52,64,67,62,59
J. Carroll,65,LB,Republic of Ireland,Motherwell,72,39,62,59,59,63
M. Watters,65,ST,England,Cardiff City,76,63,51,63,31,64
Martín,65,CB,Spain,UD Ibiza,54,25,41,42,66,58
L. Unbehaun,65,GK,Germany,Borussia Dortmund,59,62,69,68,41,64
L. Bolívar,65,RB,Venezuela,Metropolitanos de Caracas FC,66,50,60,61,62,68
Matheus Bueno,65,CAM,Brazil,Gil Vicente FC,69,58,64,67,55,63
J. Jugas,65,CB,Czech Republic,Cracovia,60,45,51,50,64,74
M. Bjärsmyr,65,CB,Sweden,IFK Göteborg,43,34,44,46,67,63
C. Sánchez,65,GK,Cuba,RC Celta de Vigo,66,64,58,67,40,65
M. Nawrocki,65,CB,Poland,Legia Warszawa,76,50,55,53,66,65
J. Ibáñez,65,LM,Argentina,Arsenal de Sarandí,68,57,59,64,42,64
Jeong Dong Ho,65,RWB,Korea Republic,Suwon FC,71,27,56,64,61,64
S. Mbule,65,CAM,South Africa,Mamelodi Sundowns FC,65,54,60,64,47,56
M. Schikora,65,CDM,Germany,FC Erzgebirge Aue,80,50,61,65,62,73
T. Nuss,65,ST,Argentina,Argentinos Juniors,70,67,58,68,34,56
B. Bronico,65,CDM,United States,Charlotte FC,67,58,58,67,61,64
Vitó,65,CAM,Portugal,Casa Pia,70,61,60,66,57,67
M. Caicedo,65,LM,Ecuador,CS Emelec,77,59,60,63,35,55
T. Arokodare,65,ST,Nigeria,Amiens SC,57,64,46,62,29,80
E. Barrios,65,CAM,Argentina,Ayacucho,63,61,63,66,62,63
Nené,65,CDM,Portugal,Jagiellonia Białystok,63,60,63,65,65,77
K. Alıcı,65,RB,Turkey,Atakaş Hatayspor,73,49,59,63,63,62
P. Sohm,65,ST,Germany,SV Waldhof Mannheim 07,71,62,57,63,26,74
S. Müller,65,GK,Germany,SG Dynamo Dresden,66,67,59,68,20,65
J. Pigott,65,ST,England,Portsmouth,64,64,53,63,31,72
Y. Bamidele,65,ST,Nigeria,Estoril Praia,84,60,55,67,31,58
J. Araúz,65,GK,Bolivia,Royal Pari,62,63,63,68,18,66
T. Makowski,65,CDM,Poland,Zagłębie Lubin,70,53,58,63,61,72
Gwon Wan Gyu,65,CB,Korea Republic,Seongnam FC,80,31,56,59,65,71
J. Lewis,65,GK,England,Aberdeen,66,61,64,65,44,66
L. Banda,65,RM,Zambia,Lecce,89,63,52,70,30,44
D. Ribera,65,RM,Bolivia,Royal Pari,78,55,60,65,37,58
M. Lucas,65,CB,Ecuador,9 de Octubre,62,43,47,53,66,69
B. Armoa,65,RW,Paraguay,Club Atlético Tigre,77,60,62,61,23,49
E. Rivas,65,ST,Venezuela,Deportivo La Guaira FC,74,65,50,61,18,62
G. Whyte,65,LW,Northern Ireland,Cardiff City,78,57,60,67,36,45
C. Cermeño,65,CDM,Venezuela,Metropolitanos de Caracas FC,71,43,66,65,62,67
B. Soumaré,65,CAM,France,Dijon FCO,66,56,65,68,57,62
R. Mejía,65,CDM,Colombia,GZT Giresunspor,74,47,57,68,62,62
M. Monzeglio,65,CAM,Uruguay,Club Nacional de Football,67,60,64,66,25,49
Javi Llabrés,65,RM,Spain,RCD Mallorca,82,60,57,68,31,49
Y. Regeer,65,CAM,Netherlands,Ajax,73,55,64,66,62,63
Christian Rivera,65,CB,Spain,Real Sporting de Gijón,51,48,61,65,64,74
A. Lajami,65,CB,Saudi Arabia,Al Nassr,76,47,54,58,64,71
D. Johannesson,65,RB,Iceland,Albacete BP,80,44,58,58,60,65
P. Soko,65,RM,Cameroon,SD Huesca,88,61,54,64,32,63
T. Rhein,65,CAM,Germany,Austria Lustenau,67,58,63,68,42,48
M. Scavone,65,CAM,Italy,Bari,69,58,66,71,49,62
Wang Gang,65,RB,China PR,Beijing Guoan FC,81,55,55,61,60,80
G. Charpentier,65,ST,France,Parma,55,68,43,62,28,63
M. Willsch,65,RB,Germany,TSV 1860 München,79,49,57,60,57,68
C. Scott,65,CAM,Germany,Royal Antwerp FC,77,63,57,70,26,50
F. Kleinhansl,65,LM,Germany,VfL Osnabrück,75,39,60,71,57,59
J. Augustin,65,ST,France,FC Basel 1893,64,67,60,67,30,50
D. Moor,65,CB,United States,Colorado Rapids,30,42,59,58,65,65
S. Lahssaini,65,CM,Belgium,Seraing,65,58,61,66,61,61
J. Hidalgo,65,RM,Venezuela,Estudiantes de Mérida,76,52,61,62,58,65
G. Peredo,65,ST,Bolivia,Club Deportivo Guabirá,77,64,58,65,44,62
C. Kouakou,65,ST,Sweden,IK Sirius,79,65,48,64,26,65
F. Michel,65,CAM,France,Grenoble Foot 38,79,55,63,71,53,62
Romário Pires,65,CDM,Brazil,Universitatea Cluj,58,55,54,59,62,75
D. Loaiza,65,CDM,Colombia,Independiente Medellín,72,56,57,67,63,62
Kim Do Hyeok,65,CM,Korea Republic,Incheon United FC,60,61,68,68,57,76
J. Matt,65,ST,Jamaica,Forest Green Rovers,53,65,51,57,26,82
A. Sylla,65,CB,Côte d'Ivoire,Club Brugge KV,75,28,48,63,64,71
J. Camargo,65,GK,Venezuela,Hermanos Colmenarez,65,63,65,65,26,64
F. Moreira,65,CB,Uruguay,Metropolitanos de Caracas FC,62,49,59,57,67,70
Yeon Je Woon,65,CB,Korea Republic,Seongnam FC,67,32,50,50,64,75
A. Fadera,65,CAM,Gambia,SV Zulte Waregem,83,63,59,65,53,65
T. Marchiori,65,GK,Argentina,Atlético Tucumán,62,67,63,66,30,67
G. Molins,65,ST,Sweden,Sarpsborg 08 FF,48,66,63,66,44,78
I. Chouaref,65,CAM,France,FC Sion,75,57,61,70,27,59
A. Ngando,65,CAM,France,Grenoble Foot 38,63,66,66,71,39,39
E. Demir,65,CAM,Turkey,FC Barcelona,70,58,64,69,37,53
Kim Sung Joon,65,CM,Korea Republic,Ulsan Hyundai FC,63,61,65,65,57,67
J. Aponte,65,LB,Bolivia,Club The Strongest,70,57,61,65,61,72
J. Toivio,65,CB,Finland,HJK Helsinki,53,52,54,51,63,75
L. Buter,65,ST,Argentina,Independiente Petrolero,69,67,51,60,25,58
C. Avevor,65,CB,Germany,FC St. Pauli,65,39,54,53,63,71
B. Benamar,65,CB,Morocco,FC Volendam,62,28,49,52,64,73
S. Tibbling,65,RM,Sweden,Sarpsborg 08 FF,63,54,63,67,52,61
J. Njinmah,65,CAM,Germany,Borussia Dortmund II,91,64,54,66,24,52
T. Corbeanu,65,LM,Canada,Blackpool,82,57,61,68,47,62
M. Tamás,65,CB,Hungary,Sepsi OSK Sf. Gheorghe,61,28,48,39,65,72
Z. Boucher,65,GK,France,SC Bastia,65,62,65,66,56,64
K. Karikari,65,ST,Ghana,Chennaiyin FC,78,65,54,62,32,76
M. Affonso,65,ST,Uruguay,Club Atlético River Plate,64,64,60,60,33,77
I. Sadiq,65,LW,Ghana,BK Häcken,90,56,53,69,30,60
M. Kaasa,65,RM,Norway,Molde FK,70,56,62,69,57,64
R. Rivas,65,RM,Honduras,Urbs Reggina 1914,81,60,61,69,29,51
João Graça,65,CM,Portugal,Rio Ave FC,67,53,64,66,59,61
T. Kristensen,65,CB,Denmark,Aarhus GF,60,26,44,55,64,74
A. Francis,65,CAM,Ghana,KSV Cercle Brugge,75,64,60,67,47,66
A. Pițian,65,CB,Romania,Universitatea Cluj,57,47,52,47,64,80
Verdasca,65,CB,Portugal,Śląsk Wrocław,64,37,49,55,63,77
M. Ali,65,CM,Saudi Arabia,Al Tai,65,52,60,66,57,66
C. Doidge,65,ST,Wales,Kilmarnock,55,64,55,60,36,78
R. Slater,65,CM,England,Hull City,68,53,64,67,60,65
C. Belu-Iordache,65,RB,Romania,Rapid București,72,47,59,57,61,74
Oh Jae Suk,65,RWB,Korea Republic,Incheon United FC,60,34,57,62,65,63
P. Pawlett,65,RW,Scotland,Dundee United,76,61,62,66,55,67
D. Hoesen,65,ST,Netherlands,Austin FC,71,65,56,64,35,69
